,ds,yhat_lower,yhat_upper,yhat
0,2021-01-01,30240.046703060052,31424.74783533248,30818.54529418852
1,2021-01-02,60171.34458567528,61337.18147831306,60760.1141909541
2,2021-01-03,90151.97477636058,91235.52478122263,90701.57968731606
3,2021-01-04,120119.934015668,121222.81165760467,120643.05002386916
4,2021-01-05,150074.3046987249,151158.68995787177,150584.402474201
5,2021-01-06,179964.34732653943,181081.78908013264,180526.26858289615
6,2021-01-07,209925.191140491,211002.9357843281,210467.55692724604
7,2021-01-08,239848.40700576446,240954.40799523744,240409.4180057249
8,2021-01-09,269863.3253638938,270914.66470334685,270351.0408946825
9,2021-01-10,299768.22434350627,300884.7469444105,300292.2858016768
10,2021-01-11,329637.89714047656,330811.7709107549,330233.65345054166
11,2021-01-12,359590.8552146174,360739.33701732056,360174.77996951545
12,2021-01-13,389517.1711952867,390679.5293390531,390117.09144831105
13,2021-01-14,419459.88183335174,420605.34775950306,420058.12308751256
14,2021-01-15,449473.8648160188,450570.23718740937,450000.2907172613
15,2021-01-16,479383.8937531362,480504.56512995914,479941.9675984111
16,2021-01-17,509283.9068544452,510418.7427849166,509882.99191603763
17,2021-01-18,539265.241322179,540422.5761162073,539824.2568772142
18,2021-01-19,569221.2645086815,570296.777993666,569765.15746483
19,2021-01-20,599124.6363943251,600264.7654360078,599707.9143137259
20,2021-01-21,629118.004113699,630192.379045453,629648.6892477792
21,2021-01-22,659056.7927339247,660175.4237137618,659591.1634287976
22,2021-01-23,688986.2803922007,690091.2170152791,689532.8943021395
23,2021-01-24,718899.741996801,720008.1995559281,719473.6980303983
24,2021-01-25,748853.4001811172,749951.0471812137,749404.9033490111
25,2021-01-26,778788.5738781316,779919.4582166274,779335.6210718595
26,2021-01-27,808702.9262292437,809799.2177975599,809268.8662832392
27,2021-01-28,838648.5641960847,839755.4435820518,839199.4275956247
28,2021-01-29,868540.7408347293,869705.04308812,869132.2513019913
29,2021-01-30,898543.9228168798,899618.1476467857,899064.0791844671
30,2021-01-31,928427.5068254443,929543.1472060883,928994.705426481
31,2021-02-01,958352.5097477298,959474.7943081347,958925.8080915537
32,2021-02-02,988316.8922893452,989448.8245826466,988856.2999581768
33,2021-02-03,1018199.1119732271,1019393.6003578543,1018789.9903915507
34,2021-02-04,1048121.3888034606,1049274.0844423992,1048720.2950841542
35,2021-02-05,1078085.368027542,1079284.4245612477,1078653.425239848
36,2021-02-06,1107992.8827648005,1109152.642932155,1108585.307096561
37,2021-02-07,1137970.234386192,1139074.2964099974,1138515.7128225635
38,2021-02-08,1167855.7724691208,1168974.3125035674,1168446.7128340963
39,2021-02-09,1197826.2892092417,1198962.2877204844,1198376.9788444943
40,2021-02-10,1227748.6357793657,1228858.605855506,1228311.114499862
41,2021-02-11,1257615.7879748277,1258797.5967096905,1258241.1625726838
42,2021-02-12,1287583.4876621766,1288770.8600652695,1288174.599177705
43,2021-02-13,1317556.3857034887,1318678.1836926944,1318106.535008655
44,2021-02-14,1347421.2010840771,1348585.3718625673,1348036.7202186459
45,2021-02-15,1377405.6915830877,1378487.530056156,1377967.6175766392
46,2021-02-16,1407343.6104346826,1408456.1499172067,1407897.6577308117
47,2021-02-17,1437281.8167184396,1438378.806129487,1437832.238608173
48,2021-02-18,1467245.9900726993,1468411.0894615673,1467848.790650587
49,2021-02-19,1497269.6410270669,1498421.045813693,1497869.294548104
50,2021-02-20,1527322.3437822594,1528475.182373002,1527888.0451366133
51,2021-02-21,1557334.3958811844,1558459.6525169488,1557904.7702039597
52,2021-02-22,1587356.015778954,1588472.3987595486,1587922.3253431818
53,2021-02-23,1617398.1562108477,1618497.1803708836,1617938.89968478
54,2021-02-24,1647384.8755688558,1648497.6755822927,1647960.6875859457
55,2021-02-25,1677427.765126407,1678515.247871817,1677976.982264731
56,2021-02-26,1707452.001933237,1708568.2112219408,1707997.7934998595
57,2021-02-27,1737412.785632095,1738607.9920258408,1738016.5982190575
58,2021-02-28,1767481.816427617,1768604.9070216217,1768033.1021311975
59,2021-03-01,1797483.2577554323,1798575.9784797812,1798050.554319325
60,2021-03-02,1827488.100846486,1828622.8730976158,1828066.9021500233
61,2021-03-03,1857528.2517177023,1858639.5357223402,1858089.1365637186
62,2021-03-04,1887553.1528001486,1888681.5883304088,1888105.1738788753
63,2021-03-05,1917567.9407637285,1918698.6152846066,1918126.2924516145
64,2021-03-06,1947581.1322762598,1948703.7923912213,1948145.1513015013
65,2021-03-07,1977639.5840492735,1978732.3635724771,1978161.4340584357
66,2021-03-08,2007625.5467902832,2008719.4366159127,2008178.783295468
67,2021-03-09,2037628.3356957152,2038795.3535397751,2038194.9046152667
68,2021-03-10,2067646.2096715579,2068745.1337369548,2068217.585541491
69,2021-03-11,2097650.180087738,2098775.678738514,2098233.3654930196
70,2021-03-12,2127734.5469707926,2128840.727393599,2128254.7914033704
71,2021-03-13,2157666.759450745,2158786.934467532,2158242.386374546
72,2021-03-14,2187692.9811040126,2188784.1842411477,2188227.1300327983
73,2021-03-15,2217670.22254963,2218790.28850868,2218213.0583883314
74,2021-03-16,2247610.9388475274,2248716.017005576,2248197.6353711756
75,2021-03-17,2277636.349102928,2278763.692879117,2278189.4445498497
76,2021-03-18,2307623.22381615,2308726.26068143,2308173.649374015
77,2021-03-19,2337619.1305629723,2338712.7465667175,2338164.0643458087
78,2021-03-20,2367596.8209162867,2368704.790206355,2368151.7133911997
79,2021-03-21,2397591.3260568217,2398656.209888621,2398136.2361249747
80,2021-03-22,2427590.9370428864,2428644.0483505107,2428122.061636821
81,2021-03-23,2457570.4627095456,2458681.295327663,2458106.412345084
82,2021-03-24,2487557.4777419246,2488625.3591653784,2488098.667570443
83,2021-03-25,2517527.65094333,2518652.671053363,2518082.615299486
84,2021-03-26,2547525.5906261625,2548655.5872174487,2548073.3372882474
85,2021-03-27,2577501.5492531545,2578630.322164056,2578061.0404078523
86,2021-03-28,2607515.988422338,2608593.388031071,2608045.3422171515
87,2021-03-29,2637518.303404346,2638609.094144798,2638031.0648853113
88,2021-03-30,2667484.1076031267,2668593.002520643,2668015.1893189917
89,2021-03-31,2697436.9782648566,2698535.9523113626,2698007.890591036
90,2021-04-01,2727409.3633976076,2728560.0684079095,2727991.5812249565
91,2021-04-02,2757454.471813647,2758536.8184504546,2757982.610230685
92,2021-04-03,2787439.234344807,2788516.1360783726,2787970.3674245053
93,2021-04-04,2817336.670320368,2818473.759002242,2817954.448309328
94,2021-04-05,2847416.051668743,2848488.777779634,2847952.6578580374
95,2021-04-06,2877379.9334603953,2878518.136259869,2877949.145714231
96,2021-04-07,2907392.170401854,2908528.443405391,2907954.8828238836
97,2021-04-08,2937394.2109580827,2938528.204948547,2937950.9060384207
98,2021-04-09,2967366.54708527,2968522.1537186415,2967954.831875185
99,2021-04-10,2997404.3311464754,2998501.9805330513,2997955.232903091
100,2021-04-11,3027393.0952897794,3028462.4366812846,3027951.68251434
101,2021-04-12,3057350.292871814,3058533.312829368,3057949.7891761856
102,2021-04-13,3087351.294974092,3088562.9742178745,3087946.0506627983
103,2021-04-14,3117385.532735182,3118532.109950868,3117952.234006403
104,2021-04-15,3147369.1048155446,3148540.5657340973,3147948.0000178795
105,2021-04-16,3177394.377621131,3178504.1726278504,3177952.23300051
106,2021-04-17,3207387.4020863962,3208516.1470007566,3207952.688125332
107,2021-04-18,3237394.180436063,3238523.464638235,3237948.916719353
108,2021-04-19,3267421.4305157107,3268521.549451421,3267946.920494334
109,2021-04-20,3297394.896518809,3298503.1148635587,3297942.955611365
110,2021-04-21,3327366.4444898907,3328543.5382928983,3327949.5851889225
111,2021-04-22,3357397.118315174,3358517.12782745,3357945.0939973383
112,2021-04-23,3387385.2326829154,3388534.853840842,3387949.6341258343
113,2021-04-24,3417377.9511116985,3418517.400303561,3417950.143347574
114,2021-04-25,3447398.5130366087,3448494.8097817334,3447946.150924364
115,2021-04-26,3477373.9924372127,3478526.5674310275,3477944.051812482
116,2021-04-27,3507380.721855204,3508506.771291802,3507939.8605599324
117,2021-04-28,3537381.7791020554,3538481.8365376154,3537946.936371443
118,2021-04-29,3567365.2483467297,3568488.5884532696,3567933.5538813984
119,2021-04-30,3597336.8989211796,3598484.656359684,3597929.767035101
120,2021-05-01,3627356.917905384,3628480.565707079,3627921.696239057
121,2021-05-02,3657326.2317138435,3658444.701478562,3657908.8487247154
122,2021-05-03,3687335.0393546964,3688468.702551253,3687898.0126459533
123,2021-05-04,3717358.536016449,3718464.402887162,3717884.960982731
124,2021-05-05,3747325.573447979,3748427.463775367,3747883.8488121373
125,2021-05-06,3777312.715906742,3778386.6701699626,3777870.2091930564
126,2021-05-07,3807312.703192837,3808435.118008212,3807866.729404226
127,2021-05-08,3837287.709949042,3838432.7118572313,3837858.712689529
128,2021-05-09,3867248.093224172,3868437.1865334827,3867845.6442215675
129,2021-05-10,3897225.771964089,3898357.6692809286,3897834.7052855543
130,2021-05-11,3927260.2882596934,3928390.0808532117,3927821.4273179015
131,2021-05-12,3957265.762287748,3958371.8594517754,3957820.761252831
132,2021-05-13,3987198.7923916164,3988367.391769579,3987806.864504714
133,2021-05-14,4017226.625368613,4018373.017673929,4017803.6917733504
134,2021-05-15,4047260.2686705487,4048382.934687369,4047795.729140001
135,2021-05-16,4077239.428001992,4078377.4565695273,4077782.439718421
136,2021-05-17,4107207.1346388767,4108324.144003869,4107771.3979251543
137,2021-05-18,4137210.2653195118,4138276.4745423095,4137757.8936530715
138,2021-05-19,4167238.9210664816,4168326.2607808337,4167757.6736935247
139,2021-05-20,4197166.575740767,4198288.159306207,4197743.519816372
140,2021-05-21,4227143.78346819,4228304.956603987,4227740.654142476
141,2021-05-22,4257206.863570908,4258286.294801314,4257751.418285223
142,2021-05-23,4287198.06623166,4288305.248471254,4287756.58056547
143,2021-05-24,4317224.156839143,4318337.052360936,4317764.108562602
144,2021-05-25,4347193.752412928,4348294.896950646,4347769.050571525
145,2021-05-26,4377222.096176359,4378361.085103599,4377787.949561714
146,2021-05-27,4407215.057543641,4408357.70688511,4407792.211103804
147,2021-05-28,4437290.969676221,4438352.331724874,4437808.325341179
148,2021-05-29,4467320.447286826,4468435.319936893,4467819.143598947
149,2021-05-30,4497277.7242663475,4498390.409292817,4497824.084788005
150,2021-05-31,4527267.606527991,4528410.779914996,4527831.509863846
151,2021-06-01,4557274.392876572,4558394.903472069,4557836.225427438
152,2021-06-02,4587332.276264881,4588476.436245054,4587855.570800901
153,2021-06-03,4617297.902719901,4618428.319133499,4617859.575053863
154,2021-06-04,4647346.073112804,4648408.968273321,4647875.996539883
155,2021-06-05,4677312.699838727,4678484.878105337,4677886.868912669
156,2021-06-06,4707365.021963083,4708473.386558868,4707891.589010542
157,2021-06-07,4737327.621816466,4738452.98853957,4737898.91116509
158,2021-06-08,4767366.144366491,4768447.791370144,4767903.4002833525
159,2021-06-09,4797390.9335690625,4798455.264416016,4797923.19204009
160,2021-06-10,4827371.418187241,4828501.892941534,4827926.939003925
161,2021-06-11,4857368.192753092,4858479.9288351815,4857943.667738588
162,2021-06-12,4887425.90493785,4888452.6360673625,4887954.594226392
163,2021-06-13,4917366.99844402,4918520.395973577,4917959.093233079
164,2021-06-14,4947432.109442772,4948577.248998529,4947993.304007001
165,2021-06-15,4977475.485070695,4978588.784654499,4978024.558162409
166,2021-06-16,5007509.721481951,5008633.3238306185,5008071.787986059
167,2021-06-17,5037548.685658607,5038689.204619125,5038102.269097456
168,2021-06-18,5067554.244464456,5068707.645857514,5068146.296814023
169,2021-06-19,5097613.084256915,5098752.165388895,5098184.269033912
170,2021-06-20,5127672.461357283,5128794.958858168,5128215.538332855
171,2021-06-21,5157657.695035945,5158791.384664372,5158249.646092914
172,2021-06-22,5187749.437390233,5188835.21604696,5188280.673599322
173,2021-06-23,5217777.3854873385,5218869.987953309,5218328.350207735
174,2021-06-24,5247746.955029052,5248903.194841466,5248358.573798592
175,2021-06-25,5277844.144216272,5278986.344601077,5278402.909040151
176,2021-06-26,5307855.794421829,5308982.302048929,5308440.935423731
177,2021-06-27,5337915.972660836,5339020.518971145,5338471.983432633
178,2021-06-28,5367956.069175285,5369031.887989306,5368505.988178828
179,2021-06-29,5397973.560482637,5399118.327839986,5398536.789036235
180,2021-06-30,5427988.117588218,5429116.74366435,5428584.91242941
181,2021-07-01,5458033.777117537,5459167.719410818,5458614.878499728
182,2021-07-02,5488133.617953647,5489231.362979977,5488659.521266277
183,2021-07-03,5518187.63232575,5519263.739979889,5518697.601813551
184,2021-07-04,5548187.484199375,5549302.601132543,5548728.428532409
185,2021-07-05,5578188.450817524,5579293.667811654,5578762.330264742
186,2021-07-06,5608213.918851086,5609368.292599955,5608792.904473147
187,2021-07-07,5638276.744039375,5639374.553418812,5638841.474651088
188,2021-07-08,5668297.644739698,5669412.097977365,5668861.775828916
189,2021-07-09,5698294.137293769,5699417.184855135,5698897.318720991
190,2021-07-10,5728348.211332863,5729472.374292522,5728926.046038977
191,2021-07-11,5758385.864834094,5759478.243853396,5758947.244119267
192,2021-07-12,5788411.90421339,5789541.58133852,5788971.635482552
193,2021-07-13,5818426.7924999455,5819513.401020771,5818992.57572918
194,2021-07-14,5848515.8207568675,5849607.893316963,5849032.18518847
195,2021-07-15,5878485.590789873,5879621.334072399,5879052.228926414
196,2021-07-16,5908541.965759616,5909661.450298774,5909088.0792471655
197,2021-07-17,5938553.499602893,5939646.870737317,5939116.860711879
198,2021-07-18,5968557.540233938,5969667.275857834,5969137.837571432
199,2021-07-19,5998573.268808436,5999748.561101016,5999162.125953118
200,2021-07-20,6028595.429453849,6029738.166086959,6029182.839621732
201,2021-07-21,6058665.359105557,6059779.18056999,6059222.895725855
202,2021-07-22,6088658.582215697,6089818.81471409,6089242.682023911
203,2021-07-23,6118751.4358861735,6119814.892981246,6119278.839773338
204,2021-07-24,6148729.557975126,6149809.505590317,6149307.675384781
205,2021-07-25,6178788.200335712,6179895.65031878,6179328.4310236
206,2021-07-26,6208804.161563023,6209901.468566251,6209352.616423687
207,2021-07-27,6238812.568466392,6239938.613637851,6239373.103514284
208,2021-07-28,6268815.864742894,6269991.503897691,6269413.606263239
209,2021-07-29,6298868.714466681,6299963.668573275,6299433.13512141
210,2021-07-30,6328936.965691286,6330005.396305754,6329469.600299514
211,2021-07-31,6358896.407013209,6360074.135290676,6359494.340286264
212,2021-08-01,6388985.160472152,6390139.4174489435,6389510.724941665
213,2021-08-02,6419006.715855635,6420128.691823868,6419530.657599201
214,2021-08-03,6448980.263653743,6450088.124433522,6449546.76836466
215,2021-08-04,6479011.435285442,6480159.73161288,6479583.567953813
216,2021-08-05,6509011.067105979,6510133.4702028,6509598.68963323
217,2021-08-06,6539097.533149514,6540218.432566381,6539631.312433245
218,2021-08-07,6569102.764584913,6570237.35632396,6569656.106559242
219,2021-08-08,6599110.706248464,6600268.963512471,6599672.270024479
220,2021-08-09,6629118.359843257,6630265.114414107,6629692.099714647
221,2021-08-10,6659158.70889872,6660273.24794865,6659707.983933403
222,2021-08-11,6689175.600645463,6690312.519618114,6689745.230105661
223,2021-08-12,6719195.525875171,6720305.485631525,6719760.094380774
224,2021-08-13,6749258.614662095,6750369.38790894,6749793.024566975
225,2021-08-14,6779256.044559854,6780370.442293342,6779817.872832217
226,2021-08-15,6809263.083752277,6810429.863117231,6809833.815107292
227,2021-08-16,6839299.977762546,6840391.428872605,6839853.541830093
228,2021-08-17,6869298.503888159,6870466.31513345,6869869.199502148
229,2021-08-18,6899376.444498027,6900489.723434984,6899906.89225751
230,2021-08-19,6929355.613722499,6930515.787211784,6929921.499128315
231,2021-08-20,6959380.253577428,6960473.528424563,6959954.736700706
232,2021-08-21,6989410.824750336,6990527.736578798,6989979.639105192
233,2021-08-22,7019418.585300601,7020600.098479215,7019995.360190106
234,2021-08-23,7049441.675643719,7050527.241478315,7049987.963958574
235,2021-08-24,7079366.733349868,7080535.566739603,7079976.375155216
236,2021-08-25,7109416.193768536,7110541.3188989675,7109987.4943635985
237,2021-08-26,7139372.623498503,7140506.318844997,7139974.823947216
238,2021-08-27,7169428.369902987,7170559.87522157,7169981.348726039
239,2021-08-28,7199415.472604041,7200597.42955845,7199979.285206325
240,2021-08-29,7229445.16975456,7230505.7211692985,7229967.765271503
241,2021-08-30,7259370.399029674,7260560.0298309745,7259960.266165273
242,2021-08-31,7289365.636806986,7290490.10301363,7289948.451019098
243,2021-09-01,7319380.161433873,7320538.83751198,7319960.016408672
244,2021-09-02,7349381.765366203,7350489.36053016,7349947.088819639
245,2021-09-03,7379416.550081566,7380482.674981505,7379953.920708012
246,2021-09-04,7409385.773879594,7410532.179375075,7409951.911278821
247,2021-09-05,7439343.114113511,7440537.395423916,7439940.170352899
248,2021-09-06,7469343.610005143,7470497.332834343,7469932.568371969
249,2021-09-07,7499350.851100654,7500476.939903152,7499920.526882979
250,2021-09-08,7529326.8043196015,7530501.044767153,7529932.538453746
251,2021-09-09,7559359.684410394,7560490.437276904,7559919.353692062
252,2021-09-10,7589371.586561489,7590472.950076235,7589926.492689985
253,2021-09-11,7619364.888246193,7620477.735790904,7619924.537351313
254,2021-09-12,7649357.339244363,7650465.294914593,7649912.575434295
255,2021-09-13,7679319.76465356,7680433.699662095,7679904.870578667
256,2021-09-14,7709328.378806783,7710473.074600062,7709892.602746859
